t,x,y,z,dx,dy,dz
2.08,-1.1771713644211175,0.3336557497450492,1.5130990900975367,-0.27325272445051496,-1.1942716770308444,-0.1604059943977063
2.1,-1.182398395823807,0.3097301488727725,1.509904484195223,-0.2494370375428332,-1.198172300851704,-0.15905853794514258
2.12,-1.1871486007408765,0.2857311809681169,1.506736670554549,-0.2255723131192724,-1.2016082735074853,-0.15772668561301373
2.14,-1.191421087591803,0.26166814325040993,1.503595340658019,-0.2016674332491064,-1.204579183529125,-0.15641005248619422
2.16,-1.1952151415590844,0.2375503408096006,1.5004801935957959,-0.17773125789661748,-1.2070846733284117,-0.1551084904449027
2.18,-1.1985302261117325,0.21338708468859627,1.4973909232425495,-0.15377271763499323,-1.209124510908028,-0.15382232026109932
2.2,-1.201365982905112,0.1891876887781451,1.494327227788421,-0.1298007061211237,-1.2106986563523936,-0.15255084088245496
2.22,-1.203722231475387,0.16496146628451264,1.4912888172123917,-0.10582351895326525,-1.2118072064458092,-0.1512938295902586
2.24,-1.2055989680542811,0.14071772623817785,1.4882754036897063,-0.08185244222512722,-1.2124505366700253,-0.1500510733449545
2.2600000000000002,-1.206996372021333,0.11646576998982251,1.4852867033368882,-0.05789290278890036,-1.2126289718498304,-0.1488224231692783
2.2800000000000002,-1.2079147950989573,0.09221488826145953,1.4823224380595137,-0.03395595865528378,-1.212343237174899,-0.1476075267946868
2.3000000000000003,-1.2083547655556583,0.06797435749831865,1.4793823339817012,-0.010049861119433956,-1.211594093071525,-0.1464062923616325
2.32,-1.2083169888846863,0.04375343674608085,1.4764661187888146,0.013816419365426214,-1.2103825133313852,-0.14521855532674977
2.34,-1.2078023559101965,0.019561362934778705,1.473573526848395,0.037633909572846846,-1.2087096550602756,-0.14404385367382133
2.36,-1.2068119168561688,-0.004592649114026048,1.470704299289077,0.06139434375248953,-1.2065767489899688,-0.1428821917798757
2.38,-1.205346907155268,-0.02869941328929937,1.4678581738995278,0.08508876135166332,-1.203985270775338,-0.141733568726778
2.4,-1.2034087368654784,-0.05274977445138627,1.4650348924709404,0.10870841341281334,-1.20093684820838,-0.14059772491908973
2.42,-1.200998989856552,-0.07673461168890343,1.4622342026230613,0.13224453453740637,-1.1974332885955534,-0.1394743759081365
2.44,-1.1981194205920982,-0.1006448409722244,1.4594558554651629,0.1556884406540533,-1.193476562033057,-0.13836341337938052
2.46,-1.194771959340123,-0.12447141969789273,1.4566996056934782,0.1790315325034939,-1.1890687911806648,-0.13726456238156004
2.48,-1.190958706991498,-0.148205349104976,1.4539652132886174,0.20226527642127934,-1.1842122563184647,-0.13617764324979476
2.5,-1.1866819361707952,-0.17183767800511685,1.4512524409956782,0.22538115228807953,-1.1789094064124406,-0.13510251224658987
2.52,-1.181944089255112,-0.1953595057902891,1.4485610545860703,0.24837072839023477,-1.1731628392067321,-0.13403901160424425
2.54,-1.1767477774432016,-0.21876198567472863,1.4458908231678116,0.2712256038588805,-1.1669753164034002,-0.13298696990996461
2.56,-1.1710957796803758,-0.2420363278938234,1.4432415193570003,0.2939373585896732,-1.1603497868909507,-0.13194621304421617
2.58,-1.164991041357686,-0.26517380283067077,1.4406129190286796,0.3164976898204799,-1.1532893412701952,-0.13091658430123232
